Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0718033657159837,-0.0016279349766449,0.128750850965126,0,0,0,8.48714607319152,0.190993086908409,7.01153963312701E-05,-0.00785937977791519,0.152035922355254,-0.000494758898409346,0.29121889848538,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/base_link.STL,0.294117647058824,0.294117647058824,0.294117647058824,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/base_link.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/底盘组件.stp-1/12_R1B_底盘下前壳.stp-1;MMP_RevB_topright_A1X带外观_20250210.stp-1/底盘组件.stp-1/底盘板.stp-1;MMP_RevB_topright_A1X带外观_20250210.stp-1/底盘组件.stp-1/11_R1底盘配重块8_V3.stp-1;MMP_RevB_topright_A1X带外观_20250210.stp-1/底盘组件.stp-1/11_R1底盘配重块10_V2.stp-1;MMP_RevB_topright_A1X带外观_20250210.stp-1/T1底座.stp-1/MMP_RevB T1组件.stp-1/T1_输出轴电机座.stp-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
steer_motor_link1,-1.76196610579549E-07,-7.75116053202478E-05,-0.0852489956386505,0,0,0,0.349272911476028,0.000338657650556839,6.14197589167664E-09,6.6056392682533E-09,0.000503900951850049,3.6051622873431E-08,0.000211486748436409,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/steer_motor_link1.STL,1,0.6,0,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/steer_motor_link1.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/底盘组件.stp-1/W1转向轮.stp-1,steer_motor_link1,steer_motor_joint1,steer_motor_joint1,revolute,0.29183,-0.0014897,0.18165,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel_motor_link1,0,-9.99250577455509E-13,-2.34534613952064E-15,0,0,0,0.73890259212432,0.00104702497304016,2.02186210571336E-18,-8.67361737988254E-20,0.00181031135070458,3.54126040189266E-17,0.00104702497304016,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/wheel_motor_link1.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/wheel_motor_link1.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/底盘组件.stp-1/W1驱动轮.stp-3,wheel_motor_link1,wheel_motor_joint1,wheel_motor_joint1,continuous,0,0,-0.11165,0,0,0,steer_motor_link1,0,1,0,,,,,,,,,,,,
steer_motor_link2,1.76196610607304E-07,7.75116053202962E-05,-0.0852489956386505,0,0,0,0.349272911476028,0.000338657650556839,6.1419758916829E-09,-6.6056392682485E-09,0.000503900951850049,-3.60516228734399E-08,0.000211486748436408,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/steer_motor_link2.STL,1,0.6,0,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/steer_motor_link2.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/底盘组件.stp-1/W1转向轮.stp-2,steer_motor_link2,steer_motor_joint2,steer_motor_joint2,revolute,-0.16817,0.23851,0.18165,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel_motor_link2,2.77555756156289E-17,-1.94289029309402E-16,-2.34621350125863E-15,0,0,0,0.73890259212432,0.00104702497304016,2.01102008398851E-18,-8.67361737988254E-20,0.00181031135070458,3.54092952964764E-17,0.00104702497304016,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/wheel_motor_link2.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/wheel_motor_link2.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/底盘组件.stp-1/W1驱动轮.stp-1,wheel_motor_link2,wheel_motor_joint2,wheel_motor_joint2,continuous,0,0,-0.11165,0,0,0,steer_motor_link2,0,1,0,,,,,,,,,,,,
steer_motor_link3,1.76196610579549E-07,7.75116053202407E-05,-0.0852489956386505,0,0,0,0.349272911476028,0.000338657650556839,6.14197589167356E-09,-6.60563926825079E-09,0.000503900951850049,-3.60516228734413E-08,0.000211486748436408,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/steer_motor_link3.STL,1,0.6,0,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/steer_motor_link3.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/底盘组件.stp-1/W1转向轮.stp-3,steer_motor_link3,steer_motor_joint3,steer_motor_joint3,revolute,-0.16817,-0.24149,0.18165,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
wheel_motor_link3,0,-1.94289029309402E-16,-2.34274405430668E-15,0,0,0,0.73890259212432,0.00104702497304016,2.00017806226365E-18,-8.67361737988255E-20,0.00181031135070458,3.53868224535946E-17,0.00104702497304016,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/wheel_motor_link3.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/wheel_motor_link3.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/底盘组件.stp-1/W1驱动轮.stp-2,wheel_motor_link3,wheel_motor_joint3,wheel_motor_joint3,continuous,0,0,-0.11165,0,0,0,steer_motor_link3,0,1,0,,,,,,,,,,,,
torso_link1,0.00321196798398059,0.0116566745256909,0.100697975240297,0,0,0,0.371566502997548,0.00310511493924453,3.89455548949465E-06,-0.000112029811012738,0.00326868759782864,4.14882596510336E-05,0.000354993987137864,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/torso_link1.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/torso_link1.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/小腿.1.stp-1/MMP_RevB小腿组件.stp-1/小腿输出轴.stp-1,torso_link1,torso_joint1,torso_joint1,prismatic,0.091831,0.00036033,0.14865,0,0,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
torso_link2,0.00627300956924463,0.00536087570300695,0.184118796618929,0,0,0,1.51580587969824,0.0309540761907757,-5.57959685881806E-07,0.000297952176364751,0.032517017639908,9.00096610164517E-07,0.00185256464591929,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/torso_link2.STL,0.4,0.4,0.4,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/torso_link2.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/大腿.1.stp-1/MMP_RevB大腿组件.stp-1/大腿输出轴.2.stp-1,torso_link2,torso_joint2,torso_joint2,revolute,0,-0.00185,0.35,0,0,0,torso_link1,0,-1,0,0,0,0,0,,,,,,,,
torso_link3,-0.0416383086406449,0.000484599582373232,0.051111008977659,0,0,0,2.79496399359323,0.00647219350010978,-4.51460802718021E-07,-1.28687447342324E-05,0.0054231706909373,-1.67510995383755E-07,0.00845061936347779,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/torso_link3.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://mmp_revB_invconfig_upright_a1x/meshes/torso_link3.STL,,MMP_RevB_topright_A1X带外观_20250210.stp-1/pitch组件.stp-1/MMP_RevB T3组件.stp-1/T3输出轴电机座.14.stp-1;MMP_RevB_topright_A1X带外观_20250210.stp-1/正装平台.stp-1/上装平面中间.stp-1;MMP_RevB_topright_A1X带外观_20250210.stp-1/正装平台.stp-1/上装平面右.stp-1;MMP_RevB_topright_A1X带外观_20250210.stp-1/正装平台.stp-1/上装平面左.stp-1,torso_link3,torso_joint3,torso_joint3,revolute,9.6485E-05,0,0.35,0,0,0,torso_link2,0,-1,0,0,0,0,0,,,,,,,,
